LTKBID,PubChem_CID,LabelCompoundName,ApprovalYear,DILIConcern,SeverityClass,LabelSection,AdjudicatedDILI,vDILIConcern,Greene_Annotation,Sakatis_Annotation,Xu_Annotation,Zhu_Annotation,SMILES,URL (accessed on 1/21/2016),"VER_DISP (1=LTKB-BD, 2=others)"
LT01716,4993.0,pyrimethamine,1953.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,HH,,Positive,Postive,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3e4d5027-7939-480f-ae19-82e764d9fa97 ,2
LT00429,4614.0,oxaprozin,1992.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,HH,,Positive,Postive,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=765a0b09-d93b-eb04-7eed-1eb260500dc0,2
LT02041,18381.0,dicloxacillin,1968.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,HH,,Positive,Postive,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8478f242-c715-4984-ac1d-dc79dc28665e,2
LT00059,44093.0,captopril,1981.0,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,HH,,Positive,Postive,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9f7dae34-0112-4c11-b032-4f951e139705,1
LT00393,5281011.0,doxycycline,1967.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,HH,,Positive,Postive,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)/C(=C(\N)/O)/C(=O)[C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ae0ff63-c577-478e-9fa0-b7c22a8e7de4,1
LT01167,2610.0,cefadroxil,1978.0,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,HH,,Positive,Postive,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=17123057-58c7-401a-b87d-8c4c0764bbf6,2
LT01433,3639.0,hydrochlorothiazide,1959.0,Less-DILI-Concern,2,Adverse reactions,Yes,vLess-DILI-Concern,HH,,Positive,Postive,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=babb1b20-fe82-40ba-8e7a-0c56fe433b4a,2
LT01492,5362119.0,lisinopril,1987.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,HH,,Positive,Postive,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9c52ca06-463b-479f-ad14-48f3d57fea14,2
LT01545,4158.0,methylphenidate,1955.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,HH,,Positive,Postive,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1a88218c-5b18-4220-8f56-526de1a276cd,2
LT01723,54892.0,quinapril,1991.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,HH,,Positive,Postive,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=894aff93-5dfa-3012-73dc-9270bead34b2,2
LT00252,2662.0,celecoxib,1998.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,Positive,Postive,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d52185d-421f-4e34-8db7-f7676db2a226,2
LT00018,3386.0,fluoxetine,1987.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,WE,non-hepatotixic,Negative,Postive,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5f356c1b-96bd-4ef1-960c-91cf4905e6b1,1
LT00128,43815.0,paroxetine,1992.0,Less-DILI-Concern,8,Adverse reactions,Yes,vLess-DILI-Concern,WE,non-hepatotixic,Negative,Postive,C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7b9e9d36-9b7d-4d47-8d8a-d37da85e7b24,1
LT00625,68617.0,sertraline,1991.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,WE,non-hepatotixic,Negative,Postive,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fe9e8b7d-61ea-409d-84aa-3ebd79a046b5,1
LT00507,33613.0,amoxicillin,1974.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,WE,non-hepatotixic,Negative,Postive,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=20c86622-85b7-4827-a317-57aee79dfe57,1
LT01857,60846.0,valsartan,1996.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,WE,non-hepatotixic,Negative,Postive,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5ddba454-f3e6-43c2-a7a6-58365d297213,2
LT00142,54454.0,simvastatin,1991.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,non-hepatotixic,Negative,Postive,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9999f4dc-60be-4c8f-8063-78144ed4431f,1
LT00576,53232.0,lovastatin,1987.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,non-hepatotixic,Negative,Postive,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=058b94d0-9811-4dd2-a28d-377a26e5e6f8,1
LT00593,1302.0,naproxen,1976.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,WE,Hepatotoxic,Negative,Postive,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cb8a73cd-960c-4569-b2d6-abbcd2096689,1
LT00199,3672.0,ibuprofen,1974.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,WE,Hepatotoxic,Negative,Postive,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=751887d9-71da-4226-8ae1-d7ca59259cbe,1
LT00047,2160.0,amitriptyline,1961.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,WE,Hepatotoxic,Negative,Postive,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=091b3ffc-ccef-47f9-b13a-ef2812e02630,2
LT00138,3001055.0,ranitidine,1977.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,WE,Hepatotoxic,Negative,Postive,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d0da9dd6-c691-4614-99c7-531b0bf34837,1
LT00265,55185.0,azithromycin,1991.0,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,WE,Hepatotoxic,Negative,Postive,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H](C([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7bb07118-4b39-4b0b-914a-a4675f732c11,2
LT00569,60825.0,lamivudine,1995.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,WE,,Negative,Postive,C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2d5e70d8-9bf9-212c-63a4-44785f3fd015,1
LT00332,2520.0,verapamil,1981.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,WE,,Negative,Postive,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a0343397-897b-46d6-943f-a87e07e1de10,1
LT00058,444.0,bupropion,1985.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,WE,,Negative,Postive,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5cb7fd36-ae36-409b-af79-9c432e1cf5d9,1
LT00300,3446.0,gabapentin,1993.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,NE,,Negative,Postive,C1CCC(CC1)(CC(=O)O)CN,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cff7de45-148b-4e96-88fd-6052bf75b5f7,2
LT00277,2249.0,atenolol,1981.0,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,NE,,Negative,Postive,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3a8c88aa-ca0d-4c23-8ffb-e6d913ef619c,2
LT01705,4932.0,propafenone,1989.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,NE,,Negative,Postive,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e4412a6a-ed4d-410d-8abb-86e1d7b72a3c,2
LT02070,16231.0,amiloride,1981.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,NE,,Negative,Postive,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=135f9cb8-17b6-e99a-57c3-2d992eddb8ef,2
LT01708,4943.0,propofol,1989.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,NE,,Negative,Postive,CC(C)C1=C(C(=CC=C1)C(C)C)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b6d54dc1-b73d-43de-ab9e-6c5ae420f683,2
LT00117,54677470.0,meloxicam,2000.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,Negative,Postive,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=06a401f0-4380-4081-86ed-a309a25abf6b,2
LT00172,1548972.0,fluvastatin,1993.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,Negative,Postive,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@@H](C[C@@H](CC(=O)O)O)O)C3=CC=C(C=C3)F,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aad8b373-0aec-4efb-8e61-3d8114b31127,2
LT00455,5284627.0,topiramate,1996.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,Negative,Postive,CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a48b6716-cf81-e694-c0c7-92c87e9d37ce,2
LT00186,54687.0,pravastatin,1991.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,non-hepatotixic,,Postive,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=99e0e848-f8f3-4b42-b880-8fbc42633948,1
LT00589,4236.0,modafinil,1998.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,non-hepatotixic,,Postive,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f3b3097f-80b8-4410-af21-dcdea144e3c3,2
LT00175,2162.0,amlodipine,1992.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,non-hepatotixic,,Postive,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bef1a169-9186-43e9-b673-64fdb658984f,2
LT00206,4594.0,omeprazole,1989.0,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,,non-hepatotixic,,Postive,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=276c3f70-890e-4afa-af48-8630f9689785,2
LT00174,5656.0,venlafaxine,1993.0,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,,non-hepatotixic,,Postive,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e5a31f69-c237-49b7-83a2-d04eebbc30ce,1
LT00030,4763.0,phenobarbital,,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,Hepatotoxic,,Postive,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=894c57ee-0f5f-41a1-9e0d-3f1f8fdfc9ab,1
LT00559,3637.0,hydralazine,1953.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,Hepatotoxic,,Postive,C1=CC=C2C(=C1)C=NN=C2NN,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ddbbdb09-3202-42d7-bbb0-08331dde2f54,2
LT00222,6010.0,methyltestosterone,1973.0,Less-DILI-Concern,2,Warnings and precautions,Yes,vLess-DILI-Concern,,,,Postive,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77bb4ef4-c10e-4acc-8225-651d003f4561,2
LT00267,5002.0,quetiapine,1997.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,Postive,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c499823e-d939-4950-bdeb-e7023f663fa2,2
LT01056,34312.0,oxcarbazepine,2000.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,Postive,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aa610e56-1d1d-11e1-8bc2-0800200c9a66,2
LT01153,150311.0,ezetimibe,2002.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,Postive,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a773b0b2-d31c-4ff4-b9e8-1eb2d3a4d62a,2
LT01309,148124.0,docetaxel,1996.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,Postive,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a0ec4bcc-93ea-4c41-a4b6-95ec19491807,1
LT01618,383414.0,octreotide,1988.0,Less-DILI-Concern,2,Warnings and precautions,Yes,vLess-DILI-Concern,,,,Postive,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CO)C(C)O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f278f0d8-4062-420a-97c3-3a8b88253a08,2
LT01614,4539.0,norfloxacin,1986.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,Postive,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=36087c76-5da9-4fab-e88f-da1d5a579d8e,2
LT01624,6196.0,oxacillin,1971.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,Postive,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f3bee4d7-82d8-4e2d-8fc8-4446e6fbf999,2
LT01684,5161.0,salsalate,,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,Postive,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=64a0968a-c33a-47c0-9f4e-67eac4672584,2
LT01766,9354.0,succimer,1991.0,Less-DILI-Concern,2,Warnings and precautions,Yes,vLess-DILI-Concern,,,,Postive,C(C(C(=O)O)S)(C(=O)O)S,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0103deca-7f23-40bf-bf39-b89b16b599b2,2
LT01971,119607.0,valdecoxib,2001.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,Postive,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=caf64301-262c-45ca-acd1-a9d6696c584e,2
LT01928,6439133.0,rosuvastatin,2003.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,Postive,CC(C)C1=NC(=NC(=C1/C=C/[C@@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bb0f3b5e-4bc6-41c9-66b9-6257e2513512,2
LT00296,5362032.0,enalapril,1985.0,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,,,,Postive,CCOC(=O)[C@@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e31289f1-4b59-418a-a893-c748ce073f6c,1
LT00146,5215.0,sulfadiazine,1941.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,Postive,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=10549cba-9c15-4d2e-a68c-5afbc178591d,2
LT00307,3883.0,lansoprazole,1995.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,Postive,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fb034790-ccc0-4df4-ac12-b7715cc0d42b,2
LT00309,4171.0,metoprolol,,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,Postive,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bb05420c-fd24-4672-9f62-fdd313819287,1
LT00397,3333.0,felodipine,1991.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,Postive,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dd39c559-5c5d-4d3b-9228-c44085e1699f,2
LT01171,656510.0,cefazolin,1973.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,Postive,CC1=NN=C(S1)SCC2=C(N3C([C@@H](C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a43260a4-f4ec-4331-aa80-02e584be7af5,2
LT01172,5479537.0,cefepime,1996.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,Postive,C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-],http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a96295cf-e652-4f10-9e25-9f2a2cc036f6,2
LT01166,40958.0,cefaclor,1979.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,Postive,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ac5e34a9-994b-4611-aa41-3d1ed58a91c0,2
